method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-430994.1804868238,206.98554910483588,25.715943162149657,12.29385547657095,0.1725,2.434962272644043
Greedy,100,-396004.24087806186,193.8522525683524,25.17019497757005,3.7716200206276627,0.309,2.564457893371582
Pure_MADDPG,100,-428746.708051499,204.26965698594478,36.53458053588194,4.828785102480802,0.06049999999999999,3.6266918182373047
Proposed_full_stage2,100,-43288.240279522746,19.64204804758926,24.000104589688984,0.0,0.528,10.768194198608398
