method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-601267.4082159438,206.98554910483588,507.18594316214956,12.29385547657095,0.0,2.585958957672119
Greedy,100,-566262.6126293195,193.8522525683524,506.64019497757005,3.7716200206276627,0.0,2.61631178855896
Pure_MADDPG,100,-554998.9128644761,203.24698181407246,392.4202576451612,4.7438429303753455,0.0,3.7564404010772705
Proposed_full_stage2,100,-213407.60643609622,19.64204804758926,505.4699998168242,0.0,0.0,11.72823190689087
