method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Proposed_full_stage2,0,-214574.8426555736,20.446637118738753,505.46999973597195,0.0,0.0,20
Proposed_full_stage2,1,-213868.54291435095,19.638532826144974,505.469999906691,0.0,0.0,20
Proposed_full_stage2,2,-213349.8034959325,19.758329603284192,505.4699995788437,0.0,0.0,20
Proposed_full_stage2,3,-215196.58266508282,20.614578358024737,505.4699999162529,0.0,0.0,20
Proposed_full_stage2,4,-213459.40213778772,19.535417254557856,505.469999786842,0.0,0.0,20
Proposed_full_stage2,5,-214541.39089825933,20.22577529954993,505.46999977789426,0.0,0.0,20
Proposed_full_stage2,6,-211758.97325842906,18.591644022851845,505.4699998730281,0.0,0.0,20
Proposed_full_stage2,7,-214592.17749514486,20.073923456364636,505.46999978286556,0.0,0.0,20
Proposed_full_stage2,8,-212415.5308029552,19.162752681640022,505.46999992413583,0.0,0.0,20
Proposed_full_stage2,9,-213203.02787829813,19.38270168990033,505.46999972218254,0.0,0.0,20
Proposed_full_stage2,10,-210701.0053852912,18.306327065418436,505.4699997688682,0.0,0.0,20
Proposed_full_stage2,11,-212328.07658968895,19.37728183234872,505.4699999303313,0.0,0.0,20
Proposed_full_stage2,12,-211425.9171054179,18.448470244495834,505.4699996985802,0.0,0.0,20
Proposed_full_stage2,13,-215680.18396675814,20.829132203831044,505.4699998871245,0.0,0.0,20
Proposed_full_stage2,14,-210775.16307856145,18.486160977299093,505.4699999235075,0.0,0.0,20
Proposed_full_stage2,15,-215218.38191477297,20.567249231404443,505.4699998921948,0.0,0.0,20
Proposed_full_stage2,16,-210000.34778251743,17.835024885485954,505.4699996075994,0.0,0.0,20
Proposed_full_stage2,17,-213454.20081433293,19.84774997497815,505.4699996371489,0.0,0.0,20
Proposed_full_stage2,18,-212884.47858382273,19.15824724654163,505.46999983916237,0.0,0.0,20
Proposed_full_stage2,19,-214083.59608387775,20.10868852791219,505.469999903213,0.0,0.0,20
Proposed_full_stage2,20,-213025.87843074815,19.34148376598586,505.4699998593128,0.0,0.0,20
Proposed_full_stage2,21,-215454.80071667672,20.59156784693819,505.4699996958546,0.0,0.0,20
