method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-430994.1804868238,206.98554910483588,25.715943162149657,12.29385547657095,0.1725,2.0470926761627197
Greedy,100,-227934.04353627062,107.83962482638553,40.43357111910023,0.4392325992678159,0.26849999999999996,2.0437936782836914
Pure_MADDPG,100,-428746.708051499,204.26965698594478,36.53458053588194,4.828785102480802,0.06049999999999999,3.246666431427002
Proposed_full_stage2,100,-43288.240279522746,19.64204804758926,24.000104589688984,0.0,0.528,10.626497507095337
