method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,runtime_sec
Random,100,-614783.9670042827,543.1617084408466,506.9328946031175,39.66268730203723,0.0,0.0,0.0,0.0,1.539213201340317e-15,0.0,0.00029486498391561,0.0,0.0315,3.750586986541748
Greedy,100,-509102.9960083484,461.55364293561666,506.62561885361896,14.436733979926931,0.0,0.0,0.0,0.0,1.4708234630234075e-15,0.0,3.552761814912566e-05,0.0,0.14700000000000002,3.9440419673919678
Pure_MADDPG,100,-268509.80744145834,233.53865973147683,506.09524150358,1.4566233028836604,0.0,0.0,0.0,0.0,1.4832579608992095e-15,0.0,2.7012908894689794e-06,0.0,0.6864999999999999,5.238470077514648
Proposed_full_stage2_fix,100,-142402.84842359138,108.97596563221549,505.71263303100744,0.0,0.0,0.0,0.0,0.0,1.4486190025309043e-15,0.0,1.4688537018875852e-06,0.0,0.7869999999999999,21.543497800827026
