method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Proposed_full_stage2_fix,0,-138443.7127098562,113.0319927685767,505.7707921339796,0.0,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,1,-133830.96545161103,90.1635051976246,505.6530198254286,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,2,-134620.8150837293,100.67270327073115,505.66179134515625,0.0,0.0,0.0,0.0,0.0,2.3980817331903383e-15,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,3,-146247.9442212647,109.89064202456407,505.7178578288496,0.0,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,4,-164079.4895191726,117.80381405314233,505.7136237143545,0.0,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,5,-99669.01792995157,82.0757157383085,505.74077060465,0.0,0.0,0.0,0.0,0.0,2.4868995751603505e-15,0.0,0.0,0.0,0.95,20
Proposed_full_stage2_fix,6,-141179.59420385858,117.44443767193695,505.7543488942485,0.0,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,7,-169973.48293601366,130.03893248361044,505.7904974222468,0.0,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,8,-137135.09528633268,121.19010862887974,505.826082810784,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.95,20
Proposed_full_stage2_fix,9,-158448.93079510995,115.80900638828344,505.69019168594593,0.0,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,10,-150922.273394087,114.54421900532887,505.7441190795049,0.0,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,11,-159923.67470246085,111.51793980255047,505.55283726939206,0.0,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,12,-163015.27048870406,118.8808269285931,505.80409938521035,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,13,-153263.00965274716,121.6161497313982,505.67991316970785,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,14,-121281.53983564154,100.61536844758936,505.7104008296072,0.0,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,15,-121115.3402639576,98.59486869593039,505.69202599315594,0.0,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,16,-140707.30416694362,108.74079654367081,505.80991383652037,0.0,0.0,0.0,0.0,0.0,2.042810365310288e-15,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,17,-155892.3626892766,119.43651404841087,505.6353956720171,0.0,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,18,-142718.85616503362,102.44396767047624,505.7247377895542,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,19,-164482.88327248135,119.13385419974534,505.7597627828447,0.0,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,20,-134269.90052003472,103.72004329029036,505.6659057195716,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.00014688537018875853,0.0,0.85,20
Proposed_full_stage2_fix,21,-146446.61155329968,111.73850774682016,505.7836924502224,0.0,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,22,-165015.29595153523,117.24907734555617,505.7196074036327,0.0,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.0,20
Proposed_full_stage2_fix,23,-125227.17497260227,105.38847353448573,505.72124370166165,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,24,-146856.31220309576,120.33954228561713,505.83799705175016,0.0,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,25,-143502.7262909068,95.04316423415705,505.7102216050683,0.0,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,26,-163076.0502029702,115.64059555726007,505.74032362457854,0.0,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,27,-152822.07410022974,113.87855244591012,505.68179755566916,0.0,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,28,-166182.5502295311,124.36819288813135,505.7878756934057,0.0,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,29,-143203.64694698728,102.18723752747194,505.6122482868418,0.0,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,30,-114819.77027145057,104.71111457501327,505.68773827017577,0.0,0.0,0.0,0.0,0.0,1.7763568394002506e-16,0.0,0.0,0.0,1.0,20
