method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-3255803818.699252,1328992.3881776957,507.18594316214956,597783.9541262048,0.0,2.5734994411468506
Greedy,100,-73753.4843129321,19.64204804758926,505.4700000000002,0.0,0.8140000000000001,1.9424142837524414
Pure_MADDPG,100,-16389378355.542385,7052650.113407157,393.044389632946,2284063.2766004065,0.0,3.6819212436676025
Proposed_full_stage2,100,-73753.52989623793,19.64204804758926,505.4699985658866,0.0,0.8140000000000001,10.984423875808716
