method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,runtime_sec
Random,100,-519341.9688427427,224.717467478196,506.6762250419317,35.03491443089063,0.0,0.0,0.0,0.0,1.1164402735630575e-15,0.0,6.954250857675549e-05,0.0,0.011500000000000002,2.2786996364593506
Greedy_Simple,100,-321229.62578002317,147.10007981671265,416.74382230000697,16.412799615144028,0.0,0.0,0.0,0.0,1.149302875091962e-15,0.0,0.0,0.0,0.168,2.250369071960449
Greedy,100,-410122.40455203375,179.83577909615732,506.3748419311718,15.682732037818344,0.0,0.0,0.0,0.0,1.1706191571647651e-15,0.0,0.0,0.0,0.0765,2.3776614665985107
Pure_MADDPG,100,-115225.58118827727,40.324338761807994,505.4700062997566,0.10672659886067207,0.0,0.0,0.0,0.0,1.0942358130705543e-15,0.0,0.0,0.0,0.7839999999999999,3.331282138824463
Proposed_full_stage2_fix,100,-169142.9101016097,66.49171396106162,504.845800937854,1.7990991870663529,0.0,0.0,0.0,0.0,1.1013412404281553e-15,0.0,0.0,0.0,0.5500000000000002,13.4314444065094
