method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,runtime_sec
Random,100,-492742.5439775368,221.61086749004136,506.6762250419317,14.648689541994049,0.0,0.0,0.0,0.0,1.1164402735630575e-15,0.0,6.954250857675549e-05,0.0,0.2455,2.299715042114258
Greedy_Simple,100,-231750.1923545349,110.34494898053603,416.5487820395614,0.4725987853912599,0.0,0.0,0.0,0.0,1.1741718708435656e-15,0.0,0.0,0.0,0.8985000000000002,2.2496609687805176
Greedy,100,-397873.31543508725,179.79061339176496,506.3767184133436,3.523397950084822,0.0,0.0,0.0,0.0,1.1795009413617662e-15,0.0,0.0,0.0,0.5255,2.5145766735076904
Pure_MADDPG,100,-73752.84249910509,19.641369541073722,505.47001053279405,0.0,0.0,0.0,0.0,0.0,1.128874771438859e-15,0.0,0.0,0.0,0.813,3.530944347381592
Proposed_full_stage2_fix,100,-142372.78644799677,53.99786133038629,504.9389694853178,0.0,0.0,0.0,0.0,0.0,1.1279865930191593e-15,0.0,0.0,0.0,0.743,16.177585124969482
