method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-3255825963.333988,1328992.3881776957,507.18594316214956,597783.9541262048,0.0,2.236363649368286
Greedy,100,-95820.69829138793,19.64204804758926,505.4700000000002,0.0,0.6865000000000002,1.8576314449310303
Pure_MADDPG,100,-16398430624.903337,7056580.5494860355,393.01802772035234,2285244.1990940874,0.0,3.4516146183013916
Proposed_full_stage2,100,-95820.74484674401,19.64204804758926,505.46999832764095,0.0,0.6865000000000002,11.140045881271362
