method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Pure_MADDPG,0,-10647935888.832457,4481479.100983943,393.16076076868154,1684962.5315355405,0.0,20
Pure_MADDPG,1,-18908066887.47605,8128127.541871916,393.0146110382917,2651775.04382457,0.0,20
Pure_MADDPG,2,-10898862969.035635,4670048.014178143,392.8654975015751,1558749.3391041704,0.0,20
Pure_MADDPG,3,-19898212883.15485,8642438.912403736,392.7035370076593,2613312.0155731863,0.0,20
Pure_MADDPG,4,-14605575621.488708,6318992.134364334,392.7414018776193,1967559.9612631653,0.0,20
Pure_MADDPG,5,-18654238571.80572,8082685.168204354,393.13596103332935,2488844.9883091096,0.0,20
Pure_MADDPG,6,-11860474376.02637,5101800.505834004,392.520161879925,1656840.3495045688,0.0,20
Pure_MADDPG,7,-19239795977.10895,8301136.882443437,393.0728567713232,2637490.85093701,0.0,20
Pure_MADDPG,8,-24540300605.105328,10417504.471006272,392.80215995774114,3705270.103850479,0.0,20
Pure_MADDPG,9,-35818710773.12966,15685696.326415235,392.7183621430655,4447282.532632269,0.0,20
Pure_MADDPG,10,-16938912736.520615,7198007.279474303,394.1105854077202,2542876.656799349,0.0,20
Pure_MADDPG,11,-12747248754.21296,5430637.81783446,392.45056167678365,1885960.7854828238,0.0,20
Pure_MADDPG,12,-16381841333.035551,7017179.433338156,392.8282266222085,2347449.0053945403,0.0,20
Pure_MADDPG,13,-10796947470.704145,4612164.111868525,393.92025700899865,1572599.5807664949,0.0,20
Pure_MADDPG,14,-21673634196.894882,9430671.871884812,392.66724337172354,2812274.466062946,0.0,20
Pure_MADDPG,15,-23461298592.89458,10179578.184633246,392.9190779905899,3102120.5037849452,0.0,20
Pure_MADDPG,16,-16468160341.468328,7072985.194868831,393.51558506736035,2322157.718411555,0.0,20
Pure_MADDPG,17,-13075681160.27246,5454573.317294027,392.7727383216676,2166519.1629526345,0.0,20
