method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-3255813541.99794,1328992.3881776957,507.18594316214956,597783.9541262048,0.0,2.327068328857422
Greedy,100,-83431.5171230798,19.64204804758926,505.4700000000002,0.0,0.7580000000000001,1.891158103942871
Pure_MADDPG,100,-16377935126.442072,7047395.9008752275,393.0304122630639,2283125.1935316087,0.0,3.43121075630188
Proposed_full_stage2,100,-83431.5630876233,19.64204804758926,505.4699984900134,0.0,0.7580000000000001,12.239279508590698
