method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,runtime_sec
Random,100,-611810.9058580197,540.4454740727533,506.93910570030823,38.54331826547886,0.0,0.0,0.0,0.0,1.472599819862808e-15,0.0,0.00040739408270485126,0.0,0.045999999999999985,4.015072584152222
Greedy,100,-509838.36174374924,461.58974925387827,506.629370473188,14.336466059949585,0.0,0.0,0.0,0.0,1.4237500067793005e-15,0.0,5.7308360175467475e-05,0.0,0.1465,3.956915855407715
Pure_MADDPG,100,-269824.0370914298,234.1285166460961,506.1028677448293,1.385337856568371,0.0,0.0,0.0,0.0,1.5134560271690138e-15,0.0,2.7012908894689794e-06,0.0,0.6895,5.466588497161865
Proposed_full_stage2_fix,100,-142974.4140811572,108.76064909936336,505.71317829112473,0.0,0.0,0.0,0.0,0.0,1.4175327578413996e-15,0.0,2.2856733220917785e-06,0.0,0.7864999999999999,22.138846397399902
