method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,runtime_sec
Random,100,-492742.5439775368,221.61086749004136,506.6762250419317,14.648689541994049,0.0,0.0,0.0,0.0,1.1164402735630575e-15,0.0,6.954250857675549e-05,0.0,0.2455,2.261526107788086
Greedy_Simple,100,-231750.1923545349,110.34494898053603,416.5487820395614,0.4725987853912599,0.0,0.0,0.0,0.0,1.1741718708435656e-15,0.0,0.0,0.0,0.8985000000000002,2.295250654220581
Greedy,100,-397873.31543508725,179.79061339176496,506.3767184133436,3.523397950084822,0.0,0.0,0.0,0.0,1.1795009413617662e-15,0.0,0.0,0.0,0.5255,2.4260129928588867
Pure_MADDPG,100,-595939.0023919119,282.3171561316434,392.67239493925786,16.51953705849865,0.0,0.0,0.0,0.0,1.0693668173189507e-15,0.0,2.1772543740555908e-05,0.0,0.0555,3.573711395263672
Proposed_full_stage2_fix,100,-142372.78644799677,53.99786133038629,504.9389694853178,0.0,0.0,0.0,0.0,0.0,1.1279865930191593e-15,0.0,0.0,0.0,0.743,14.067291975021362
