method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,runtime_sec
Random,100,-613778.9298766347,542.7770800466097,506.9387579105881,39.371537054986405,0.0,0.0,0.0,0.0,1.4868106745780094e-15,0.0,0.0004577952248876599,0.0,0.031,3.825026512145996
Greedy,100,-507229.67541068135,460.1017737832749,506.6267768368351,14.364970178479972,0.0,0.0,0.0,0.0,1.5489831639570182e-15,0.0,3.552761814912566e-05,0.0,0.14700000000000002,3.9310386180877686
Pure_MADDPG,100,-268010.15489482536,233.33057953401115,506.09814974777174,1.5085425018904326,0.0,0.0,0.0,0.0,1.5063505998114125e-15,0.0,2.7012908894689794e-06,0.0,0.6849999999999998,5.067985534667969
Proposed_full_stage2_fix,100,-142112.0761892111,109.02562850107292,505.7156400287767,0.0,0.0,0.0,0.0,0.0,1.5125678487493133e-15,0.0,1.4688537018875852e-06,0.0,0.7825,21.177062273025513
