method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Proposed_full_stage2_fix,0,-134269.90052003472,103.72004329029036,505.6659057195716,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.00014688537018875853,0.0,0.85,20
Proposed_full_stage2_fix,1,-145748.873618632,111.04186308821716,505.7815494553409,0.0,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,2,-165015.29595153523,117.24907734555617,505.7196074036327,0.0,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.0,20
Proposed_full_stage2_fix,3,-125227.17497260227,105.38847353448573,505.72124370166165,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,4,-146637.10723719324,120.12073800488119,505.8373066848728,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,5,-143380.9445455862,94.92158317196548,505.7098237854042,0.0,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,6,-163076.0502029702,115.64059555726007,505.74032362457854,0.0,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,7,-152822.07410022974,113.87855244591012,505.68179755566916,0.0,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,8,-165894.03166042967,124.08015248471568,505.787053405983,0.0,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,9,-143203.64694698728,102.18723752747194,505.6122482868418,0.0,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,10,-114819.77027145057,104.71111457501327,505.68773827017577,0.0,0.0,0.0,0.0,0.0,1.7763568394002506e-16,0.0,0.0,0.0,1.0,20
Proposed_full_stage2_fix,11,-119085.01507290392,97.31242045224928,505.67334329298944,0.0,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,12,-149870.72343177264,104.5392637431006,505.66546689039194,0.0,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.75,20
