method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,runtime_sec
Random,100,-620242.875411878,547.8338338794301,506.9529336698545,39.501632882309536,0.0,0.0,0.0,0.0,1.4308554341369017e-15,0.0,0.0003309517906484477,0.0,0.034,4.066883087158203
Greedy,100,-514640.80479571526,465.8523327658468,506.6348662190369,14.745873982854913,0.0,0.0,0.0,0.0,1.396216475768597e-15,0.0,7.05118270232114e-05,0.0,0.1375,4.056319952011108
Pure_MADDPG,100,-270855.0800683703,235.00388651641998,506.0998037249747,1.4056814096969676,0.0,0.0,0.0,0.0,1.4592771435673056e-15,0.0,2.7012908894689794e-06,0.0,0.6809999999999999,5.338076829910278
Proposed_full_stage2_fix,100,-143776.35908985802,109.42793315630335,505.7103268451725,0.0,0.0,0.0,0.0,0.0,1.4122036873231994e-15,0.0,2.2856733220917785e-06,0.0,0.7930000000000001,21.940467357635498
