method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-3255803818.699252,1328992.3881776957,507.18594316214956,597783.9541262048,0.0,2.254523277282715
Greedy_Simple,100,-484441137.6741458,201292.83096409496,416.7060917910656,81844.81223300709,0.0,2.2565016746520996
Greedy,100,-332724242.99765307,139194.41010147153,505.59201787287884,54300.863086274236,0.0,2.406428098678589
Pure_MADDPG,100,-16389378355.542385,7052650.113407157,393.044389632946,2284063.2766004065,0.0,3.57847261428833
Proposed_full_stage2_v2,100,-514505550.62250674,215860.5254829103,505.6400724192027,82749.92173586875,0.0,15.840606689453125
