method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-3255803818.699252,1328992.3881776957,507.18594316214956,597783.9541262048,0.0,2.317199468612671
Greedy_Simple,100,-484441137.6741458,201292.83096409496,416.7060917910656,81844.81223300709,0.0,2.3016300201416016
Greedy,100,-73753.4843129321,19.64204804758926,505.4700000000002,0.0,0.8140000000000001,1.8999295234680176
Pure_MADDPG,100,-16389378355.542385,7052650.113407157,393.044389632946,2284063.2766004065,0.0,3.668299436569214
Proposed_full_stage2,100,-73753.52989623793,19.64204804758926,505.4699985658866,0.0,0.8140000000000001,12.112191438674927
