method,num_eval_episodes,avg_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,runtime_sec
Random,100,-3255794616.4108043,1328992.3881776957,507.18594316214956,597783.9541262048,0.0,2.2811532020568848
Greedy,100,-64585.73195412503,19.64204804758926,505.4700000000002,0.0,0.865,1.8902587890625
Pure_MADDPG,100,-16394273005.515501,7054704.815280053,393.05636097413276,2284848.776125072,0.0,3.433145523071289
Proposed_full_stage2,100,-64585.777258984075,19.64204804758926,505.4699986299009,0.0,0.865,10.876641511917114
